lx,ly,lz,dlx_dt,dly_dt,dlz_dt
0.44041827808193484,-0.12259390048150717,0.5742817452541198,0.011733906521004967,0.16861611825247189,0.026996297276706736
0.44064983418882103,-0.1192191160316377,0.5748143813771962,0.011421477071676997,0.16886124122880747,0.026266941855739485
0.4408751281975437,-0.11583949437525856,0.5753324081917675,0.011107702543772371,0.16909983281183133,0.02553537596651538
0.4410941335579001,-0.11245516650270121,0.5758357820626598,0.010792618125011602,0.16933185690704314,0.024801657116309193
0.4413068244264681,-0.10906626411702619,0.5763244605100902,0.010476259304516025,0.16955727833800355,0.024065843334771637
0.4415131756725602,-0.10567291961554476,0.576798402219985,0.010158661865361188,0.16977606285800284,0.023327993161025174
0.4417131628840268,-0.10227526607110989,0.5772575670540385,0.009839861877002223,0.1699881771614517,0.02258816563053767
0.4419067623729071,-0.09887343721318236,0.5777019160595068,0.009519895687574133,0.17019358889498776,0.021846420261779163
0.44209395118092487,-0.09546756740867754,0.5781314114787327,0.00919879991606997,0.17039226666829205,0.021102817042666772
0.4422747070848262,-0.09205779164259884,0.5785460167583971,0.008876611444400002,0.1705841800646087,0.02035741641680318
0.44244900860155745,-0.08864424549846374,0.5789456965584939,0.008553367409335037,0.1707692996509625,0.019610279269514176
0.442616834993281,-0.08522706513852858,0.5793304167610228,0.008229105194337099,0.17094759698806822,0.01886146691369086
0.4427781662722267,-0.0818063872838183,0.5797001444783976,0.007903862421280869,0.1711190446399265,0.018111041075442334
0.44293298320537594,-0.07838234919396736,0.5800548480615653,0.007577676942069216,0.17128361618310015,0.017359063879564728
0.44308126731897796,-0.0749550886468785,0.5803944971078335,0.007250586830146354,0.17144128621566648,0.01660559783483263
0.44322300090289485,-0.0715247439182056,0.5807190624684013,0.006922630371912139,0.1715920303658403,0.01585070581911908
0.44335816701477393,-0.06809145376066755,0.5810285162555908,0.006593846058041138,0.1717358253002617,0.0150944510643504
0.44348674948404576,-0.06465535738319966,0.5813228318497767,0.006264272574710166,0.17187264873194535,0.01433689714130226
0.4436087329157457,-0.061216594429949506,0.5816019839060098,0.005933948794738037,0.172002479427886,0.013578107944243498
0.4437241026941574,-0.05777530495912421,0.5818659483603321,0.005602913768641367,0.17212529721631553,0.012818147675434346
0.44383284498627673,-0.05433162942169605,0.5821147024357807,0.005271206715610285,0.1722410829936083,0.012057080829485728
0.4439349467450943,-0.050885708639973534,0.5823482246480767,0.004938867014407981,0.17234981873082944,0.011294972177586519
0.4440303957126953,-0.047437683786045064,0.5825664948109988,0.004605934194198136,0.17245148747992373,0.01053188675160565
0.44411918042317533,-0.04398769636010251,0.5827694940414363,0.004272447925304212,0.1725460733795408,0.00976788982807611
0.4442012902053705,-0.04053588816865191,0.5829572047641215,0.0039384480099047235,0.17263356166049273,0.009003046912067896
0.4442767151854011,-0.03708240130261874,0.5831296107160384,0.0036039743726686627,0.17271393865084217,0.008237423720957145
0.4443454462890272,-0.03362737811535509,0.5832866969505055,0.003269067051335197,0.17278719178061663,0.007471086168098663
0.44440747524381546,-0.030170961200556415,0.5834284498409315,0.00293376618724192,0.17285330958614756,0.006704100346409196
0.44446279458111604,-0.026713293370095148,0.5835548570842414,0.0025981120158058806,0.17291228171403045,0.005936532511868845
