q,p,dq_dt,dp_dt
-0.50183952461055,1.8028572256396647,1.8028572256396647,2.0073580984422
-0.4093397948056699,1.8940510764971463,1.8940510764971463,1.6373591792226796
-0.3127500851789707,1.9663202253570113,1.9663202253570113,1.2510003407158827
-0.21303548662935995,2.0189425842385664,2.0189425842385664,0.8521419465174398
-0.11119231284749899,2.051392369075137,2.051392369075137,0.44476925138999596
-0.008238145494897778,2.063345353163183,2.063345353163183,0.03295258197959111
0.09479833311903271,2.0546821067201533,2.0546821067201533,-0.37919333247613085
0.19688761827360654,2.025489190182564,2.025489190182564,-0.7875504730944262
0.2970096692905943,1.9760582893213132,1.9760582893213132,-1.1880386771623772
0.3941641014263856,1.90688330081589,1.90688330081589,-1.5766564057055423
0.4873801813687361,1.818655397407429,1.818655397407429,-1.9495207254749445
0.575726526466569,1.7122561219379235,1.7122561219379235,-2.302906105866276
0.6583204107814977,1.5887485792775837,1.5887485792775837,-2.633281643125991
0.7343365849782412,1.4493668141475704,1.4493668141475704,-2.9373463399129647
0.8030155219286536,1.295503480971236,1.295503480971236,-3.212062087714614
0.8636710056421658,1.1286959289524627,1.1286959289524627,-3.4546840225686632
0.915696987696689,0.9506108414141853,0.9506108414141853,-3.662787950786756
0.9585736426629123,0.7630275828755146,0.7630275828755146,-3.8342945706516494
0.9918725620183116,0.5678204202577042,0.5678204202577042,-3.9674902480732466
1.0152610346550923,0.36693979585851044,0.36693979585851044,-4.061044138620369
1.028505371212732,0.1623928392089005,0.1623928392089005,-4.114021484850928
1.0314732390195593,-0.04377668746912278,-0.04377668746912278,-4.125892956078237
1.024134984313457,-0.249508809825547,-0.249508809825547,-4.096539937253828
1.0065639285305326,-0.4527479239310471,-0.4527479239310471,-4.02625571412213
0.9789356357013573,-0.6514633351576713,-0.6514633351576713,-3.9157425428054293
0.9415261582747122,-0.8436695481741505,-0.8436695481741505,-3.766104633098849
0.8947092788959717,-1.027446105325248,-1.027446105325248,-3.578837115583887
0.8389527756993354,-1.2009567751769563,-1.2009567751769563,-3.3558111027973414
0.774813748429821,-1.3624678995022688,-1.3624678995022688,-3.099254993719284
0.7029330520948021,-1.5103657153908263,-1.5103657153908263,-2.8117322083792082
0.6240288937621197,-1.6431724794059486,-1.6431724794059486,-2.4961155750484787
0.5388896564833529,-1.7595612326820862,-1.7595612326820862,-2.1555586259334114
0.448366022043124,-1.858369059434988,-1.858369059434988,-1.793464088172496
0.35336247124120373,-1.9386087064101711,-1.9386087064101711,-1.413449884964815
0.2548282466336535,-1.999478447172224,-1.999478447172224,-1.019312986534614
0.153747868030166,-2.0403700926744124,-2.0403700926744124,-0.614991472120664
0.051131295513467526,-2.060875068069783,-2.060875068069783,-0.2045251820538701
-0.051996161731518525,-2.0607884950464066,-2.0607884950464066,0.2079846469260741
-0.15460408995126795,-2.0401112388975107,-2.0401112388975107,0.6184163598050718
-0.25566726636018716,-1.9990498998729154,-1.9990498998729154,1.0226690654407486
-0.3541759028106524,-1.9380147488982162,-1.9380147488982162,1.4167036112426097
-0.4491457352453635,-1.8576156282873186,-1.8576156282873186,1.796582940981454
-0.5396278581217089,-1.7586558584070089,-1.7586558584070089,2.1585114324868355
-0.6247182055459923,-1.6421242111760828,-1.6421242111760828,2.4988728221839693
-0.7035665843853249,-1.5091850305970658,-1.5091850305970658,2.8142663375412997
-0.7753851691014702,-1.3611665990327713,-1.3611665990327713,3.1015406764058806
-0.8394563734292199,-1.199547865467843,-1.199547865467843,3.3578254937168794
-0.8951400202482329,-1.0259436683619092,-1.0259436683619092,3.5805600809929317
-0.9418797380094748,-0.8420886007424873,-0.8420886007424873,3.767518952037899
-0.9792085198053982,-0.6498196787520528,-0.6498196787520528,3.916834079221593
-1.006753389539577,-0.4510579868191429,-0.4510579868191429,4.027013558158308
-1.0242391285730579,-0.24778948284859004,-0.24778948284859004,4.0969565142922315
-1.031491025612087,-0.042045155218771724,-0.042045155218771724,4.125964102448348
-1.0284366223613037,0.16411927014972214,0.16411927014972214,4.113746489445215
-1.0151064375004502,0.36864386989407283,0.36864386989407283,4.060425750001801
-0.9916336617508917,0.569485105248317,0.569485105248317,3.966534647003567
-0.9582528270787494,0.764636240372942,0.764636240372942,3.8330113083149975
-0.9152974633315191,0.9521473929621358,0.9521473929621358,3.6611898533260763
-0.8631967657222654,1.1301450167899891,1.1301450167899891,3.452787062889062
-0.8024713064587443,1.2968506215328215,1.2968506215328215,3.2098852258349773
0.9279757672456204,0.3946339367881464,0.3946339367881464,-3.7119030689824815
0.9430385656530974,0.20737658321890007,0.20737658321890007,-3.7721542626123896
0.9486788499311989,0.01804719742983385,0.01804719742983385,-3.7947153997247955
0.9448402644484568,-0.17146250706358876,-0.17146250706358876,-3.7793610577938272
0.9315611631497256,-0.3592590150902588,-0.3592590150902588,-3.7262446525989024
0.908974226335568,-0.5434659291695989,-0.5434659291695989,-3.635896905342272
0.8773051349654507,-0.7222427178234575,-0.7222427178234575,-3.509220539861803
0.8368703157306648,-0.8938031055270995,-0.8938031055270995,-3.3474812629226594
0.7880737794274326,-1.0564329205532932,-1.0564329205532932,-3.1522951177097305
0.7314030842200911,-1.2085072223800397,-1.2085072223800397,-2.9256123368803646
0.667424464128038,-1.3485065375308443,-1.3485065375308443,-2.669697856512152
0.596777171410917,-1.4750320416246614,-1.4750320416246614,-2.387108685643668
0.520167089380979,-1.586819535941758,-1.586819535941758,-2.080668357523916
0.4383596794611871,-1.6827520788565178,-1.6827520788565178,-1.7534387178447484
0.3521723329596244,-1.761871145928314,-1.761871145928314,-1.4086893318384976
0.2624662039786253,-1.823386207142719,-1.823386207142719,-1.0498648159145012
0.1701376050613747,-1.8666826256106006,-1.8666826256106006,-0.6805504202454988
0.07610905154769311,-1.8913277988040755,-1.8913277988040755,-0.30443620619077244
-0.018679955879300686,-1.8970754809682395,-1.8970754809682395,0.07471982351720274
-0.11328231835805165,-1.8838682435206686,-1.8838682435206686,0.4531292734322066
-0.20675280193166126,-1.8518380488552557,-1.8518380488552557,0.827011207726645
-0.2981574819973692,-1.8013049318171612,-1.8013049318171612,1.1926299279894768
-0.38658307475676396,-1.73277380202315,-1.73277380202315,1.5463322990270558
-0.47114606243011387,-1.646929398977442,-1.646929398977442,1.8845842497204555
-0.5510015210588474,-1.544629450389838,-1.544629450389838,2.2040060842353895
-0.6253515626918503,-1.4268961020558488,-1.4268961020558488,2.5014062507674013
-0.6934533076041901,-1.294905704928522,-1.294905704928522,2.7738132304167604
-0.7546263068926329,-1.1499770614260132,-1.1499770614260132,3.0185052275705315
-0.8082593412839636,-0.9935582484137434,-0.9935582484137434,3.2330373651358544
-0.8538165282247852,-0.8272121485213451,-0.8272121485213451,3.4152661128991406
-0.8908426762328859,-0.6526008343604751,-0.6526008343604751,3.5633707049315437
-0.9189678330113662,-0.47146896167098307,-0.47146896167098307,3.675871332045465
-0.9379109818823568,-0.2856263373253657,-0.2856263373253657,3.751643927529427
-0.9474828496068607,-0.09692983636596711,-0.09692983636596711,3.7899313984274428
-0.9475877975359676,0.0927351512463811,0.0927351512463811,3.7903511901438702
-0.9382247771977289,0.28147355879462754,0.28147355879462754,3.7528991087909156
-0.9194873407718134,0.46739957765429596,0.46739957765429596,3.6779493630872535
-0.8915627063472973,0.6486554996383701,0.6486554996383701,3.566250825389189
-0.854729887303222,0.8234302785721038,0.8234302785721038,3.418919549212888
-0.8093569045025121,0.9899776256369474,0.9899776256369474,3.2374276180100483
-0.7558971091540573,1.1466334576812043,1.1466334576812043,3.023588436616229
-0.694884653083655,1.2918325241599653,1.2918325241599653,2.77953861233462
-0.6269291516733063,1.4241240465737193,1.4241240465737193,2.5077166066932253
-0.5527095927949336,1.542186214141815,1.542186214141815,2.2108383711797344
-0.47296755259834994,1.6448393908750534,1.6448393908750534,1.8918702103933998
-0.38849978593898093,1.7310579020869439,1.7310579020869439,1.5539991437559237
-0.30015026547922086,1.7999802825769178,1.7999802825769178,1.2006010619168834
-0.20880174900596643,1.8509178840892284,1.8509178840892284,0.8352069960238657
-0.11536695922077013,1.883361756044824,1.883361756044824,0.4614678368830805
-0.020779464131092232,1.8969877307963303,1.8969877307963303,0.08311785652436893
0.07401565083737952,1.8916596625960684,1.8916596625960684,-0.29606260334951806
0.16807122580632486,1.8674307879144854,1.8674307879144854,-0.6722849032252994
0.2604474901374655,1.8245431935171996,1.8245431935171996,-1.041789960549862
0.3502214522943873,1.7634253976154726,1.7634253976154726,-1.4008858091775491
0.43649612205327226,1.6846880682584393,1.6846880682584393,-1.745984488213089
0.5184094729174149,1.5891179217474616,1.5891179217474616,-2.0736378916696596
0.5951430551861925,1.4776698620375543,1.4776698620375543,-2.38057222074477
0.6659301736196994,1.351457439666282,1.351457439666282,-2.6637206944787977
0.7300635479906663,1.2117417255412157,1.2117417255412157,-2.9202541919626652
0.7869023799820953,1.0599187107552297,1.0599187107552297,-3.1476095199283813
-1.375925438230254,-1.3760219186551894,-1.3760219186551894,5.503701752921016
-1.4377379715013001,-1.0944210966532673,-1.0944210966532673,5.7509518860052005
-1.4851851252932837,-0.801885202948144,-0.801885202948144,5.940740501173135
-1.5177928243186676,-0.5013371547715233,-0.5013371547715233,6.07117129727467
-1.5352352639761875,-0.19577992398018323,-0.19577992398018323,6.14094105590475
-1.5373381656752505,0.11173346759727987,0.11173346759727987,6.149352662701002
-1.5240805181650003,0.4181304528952335,0.4181304528952335,6.096322072660001
-1.4955947874693138,0.7203496196345894,0.7203496196345894,5.982379149877255
-1.4521655933301552,1.0153712988912047,1.0153712988912047,5.808662373320621
-1.394226865383824,1.3002477365787484,1.3002477365787484,5.576907461535296
-1.3223575074846214,1.5721325463830604,1.5721325463830604,5.289430029938486
-1.237275613496525,1.8283091498645179,1.8283091498645179,4.9491024539861
-1.139831292346695,2.0662179195647927,2.0662179195647927,4.55932516938678
-1.0309981740304037,2.2834817539135237,2.2834817539135237,4.123992696121615
-0.9118636814364601,2.4779298283993345,2.4779298283993345,3.6474547257458405
-0.7836181651936837,2.6476192856917695,2.6476192856917695,3.1344726607747346
-0.6475430100992894,2.7908546479940064,2.7908546479940064,2.5901720403971575
-0.5049978319656342,2.9062047576648946,2.9062047576648946,2.0199913278625368
-0.35740689280999993,2.992517076845532,2.992517076845532,1.4296275712399997
-0.2062448701221305,3.0489292032135213,3.0489292032135213,0.824979480488522
-0.05302212239807039,3.074877486803519,3.074877486803519,0.21208848959228155
0.10073040183801896,3.0701026617978444,3.0701026617978444,-0.40292160735207583
0.25347646074024555,3.0346524370162884,3.0346524370162884,-1.0139058429609822
0.40368986873619384,2.968881019221892,2.968881019221892,-1.6147594749447753
0.5498697456431254,2.8734455740057028,2.8734455740057028,-2.1994789825725016
0.6905555129413014,2.7492996596121553,2.7492996596121553,-2.7622220517652054
0.8243414873668722,2.597683699312063,2.597683699312063,-3.2973659494674887
0.949890926010229,2.4201125875199976,2.4201125875199976,-3.799563704040916
1.065949382586076,2.2183605534914697,2.2183605534914697,-4.263797530344304
1.1713572414240223,1.994443433836632,1.994443433836632,-4.685428965696089
1.26506130394442,1.7505985309774266,1.7505985309774266,-5.06024521577768
1.346125311851421,1.489262258795516,1.489262258795516,-5.384501247405684
1.4137393018991726,1.2130457988279497,1.2130457988279497,-5.6549572075966905
1.4672276987615964,0.924709010245437,0.924709010245437,-5.868910795046386
1.506056065144618,0.6271328542956871,0.6271328542956871,-6.024224260578472
1.5298364416960928,0.32329060873722615,0.32329060873722615,-6.119345766784371
1.5383312233589193,0.016218159879089866,0.016218159879089866,-6.153324893435677
1.5314555334361866,-0.2910163309419703,-0.2910163309419703,-6.125822133744746
1.5092780716475416,-0.5953430833647313,-0.5953430833647313,-6.037112286590166
1.4720204277033129,-0.8937213701830475,-0.8937213701830475,-5.8880817108132515
1.4200548672549413,-1.1831698992359363,-1.1831698992359363,-5.680219469019765
1.3539006123437531,-1.4607966014429068,-1.4607966014429068,-5.415602449375013
1.2742186535125608,-1.7238275273528343,-1.7238275273528343,-5.096874614050243
1.181805145415692,-1.9696345634821086,-1.9696345634821086,-4.727220581662768
1.0775834519162375,-2.1957616915100457,-2.1957616915100457,-4.31033380766495
0.9625949201531628,-2.3999495279588188,-2.3999495279588188,-3.8503796806126513
0.83798847576062,-2.5801578991659726,-2.5801578991659726,-3.35195390304248
0.7050091432004311,-2.73458622598826,-2.73458622598826,-2.8200365728017243
0.5649856059086116,-2.861691514559946,-2.861691514559946,-2.2599424236344463
0.41931693055064245,-2.96020377334821,-2.96020377334821,-1.6772677222025698
0.26945858803213507,-3.029138702463803,-3.029138702463803,-1.0778343521285403
0.11690791093810635,-3.067807528439827,-3.067807528439827,-0.4676316437524254
-0.03681086729491001,-3.0758238862129716,-3.0758238862129716,0.14724346917964004
-0.19016184199051336,-3.0531076795448824,-3.0531076795448824,0.7606473679620535
-0.3416127834588511,-2.999885881311717,-2.999885881311717,1.3664511338354044
-0.4896504465036311,-2.916690265665713,-2.916690265665713,1.9586017860145244
-0.6327956902424535,-2.8043520947282663,-2.8043520947282663,2.531182760969814
-0.7696182571684699,-2.6639938129032763,-2.6639938129032763,3.0784730286738795
-0.8987510637861209,-2.4970178317983427,-2.4970178317983427,3.5950042551444836
-1.01890386003389,-2.3050925178110213,-2.3050925178110213,4.07561544013556
-1.7676655513272022,1.4647045830997407,1.4647045830997407,7.070662205308809
-1.685721418403968,1.810331051535003,1.810331051535003,6.742885673615872
-1.5869341434954025,2.1378693158647017,2.1378693158647017,6.34773657398161
-1.4722907749866103,2.444046727725443,2.444046727725443,5.889163099946441
-1.3429367898309446,2.725804069020508,2.725804069020508,5.371747159323778
-1.2001646483398072,2.9803261185619383,2.9803261185619383,4.800658593359229
-1.045400880365926,3.2050697807798043,3.2050697807798043,4.181603521463704
-0.880191831910506,3.3977894954463883,3.3977894954463883,3.520767327642024
-0.7061882145692209,3.556559674530185,3.556559674530185,2.8247528582768835
-0.525128612193637,3.6797939419984993,3.6797939419984993,2.100514448774548
-0.33882210956379455,3.7662609843312613,3.7662609843312613,1.3552884382551782
-0.14913021664022996,3.8150968533732774,3.8150968533732774,0.5965208665609198
0.04205173099795126,3.8258135985991326,3.8258135985991326,-0.16820692399180504
0.23281350968858072,3.7983041425402067,3.7983041425402067,-0.9312540387543229
0.42124909397822685,3.7328433506602794,3.7328433506602794,-1.6849963759129074
0.6054757009666862,3.630085284989953,3.630085284989953,-2.421902803866745
0.7836526024196887,3.4910566689606757,3.4910566689606757,-3.134610409678755
0.9539995166857207,3.3171466287355282,3.3171466287355282,-3.8159980667428828
1.1148143966513266,3.110092813537888,3.110092813537888,-4.459257586605307
1.2644904360038223,2.871964033658873,2.871964033658873,-5.057961744015289
1.4015321238807585,2.6051395896186227,2.6051395896186227,-5.606128495523034
1.5245701874936672,2.3122854990172947,2.3122854990172947,-6.098280749974669
1.6323752734245935,1.9963278586088853,1.9963278586088853,-6.529501093698374
1.72387023089667,1.6604236077548078,1.6604236077548078,-6.89548092358668
1.7981408742885763,1.3079289853786975,1.3079289853786975,-7.192563497154305
1.8544451173575962,0.942365995589624,0.942365995589624,-7.417780469430385
1.8922203879053126,0.5673872170375907,0.5673872170375907,-7.56888155162125
1.9110892488011952,0.18673930761404628,0.18673930761404628,-7.644356995204781
1.9108631692007938,-0.1957744308542142,-0.1957744308542142,-7.643452676803175
1.8915444082778552,-0.5763320538771635,-0.5763320538771635,-7.566177633111421
1.8533259926487986,-0.9511311618441471,-0.9511311618441471,-7.413303970595194
1.7965897877151369,-1.3164268922803108,-1.3164268922803108,-7.1863591508605476
1.721902682194351,-1.668569337211416,-1.668569337211416,-6.887610728777404
1.6300109239620852,-2.004040011775736,-2.004040011775736,-6.520043695848341
1.5218326637999857,-2.3194870097013363,-2.3194870097013363,-6.087330655199943
1.3984487815494933,-2.6117584943874337,-2.6117584943874337,-5.593795126197973
1.2610920863334962,-2.877934190958605,-2.877934190958605,-5.044368345333985
1.1111349987535049,-3.115354564634196,-3.115354564634196,-4.444539995014019
0.9500758381375752,-3.3216473938728273,-3.3216473938728273,-3.800303352550301
0.779523851852061,-3.494751472782407,-3.494751472782407,-3.118095407408244
0.6011831362591282,-3.6329372059694265,-3.6329372059694265,-2.404732545036513
0.4168356099762598,-3.7348238900510102,-3.7348238900510102,-1.6673424399050392
0.22832320956304045,-3.7993935091588904,-3.7993935091588904,-0.9132928382521618
0.037529485529750495,-3.826000906595471,-3.826000906595471,-0.15011794211900198
-0.1536392174459325,-3.8143802310103783,-3.8143802310103783,0.61455686978373
-0.3432728080533769,-3.7646475926895846,-3.7646475926895846,1.3730912322135076
-0.529476533318232,-3.677299903416449,-3.677299903416449,2.117906133272928
-0.7103899103160674,-3.553209911496424,-3.553209911496424,2.8415596412642694
-0.8842053154713099,-3.3936174815537985,-3.3936174815537985,3.5368212618852395
-1.0491860457036615,-3.2001172062297645,-3.2001172062297645,4.196744182814646
-1.2036836709613028,-2.9746424735614774,-2.9746424735614774,4.814734683845211
-1.3461545047604024,-2.71944614923537,-2.71944614923537,5.38461801904161
-1.4751750281630358,-2.437078066730988,-2.437078066730988,5.900700112652143
-1.5894561130824931,-2.1303595502660584,-2.1303595502660584,6.3578244523299725
-1.687855902801666,-1.8023552251007164,-1.8023552251007164,6.751423611206664
-1.7693912210068634,-1.4563423968625848,-1.4563423968625848,7.077564884027454
-1.833247395341974,-1.0957783058438886,-1.0957783058438886,7.332989581367896
-1.878786397329452,-0.7242655834543295,-0.7242655834543295,7.515145589317808
-1.905553217326889,-0.3455162559768749,-0.3455162559768749,7.622212869307556
-1.9132804108228392,0.036685344711545165,0.036685344711545165,7.653121643291357
0.4044600469728352,0.832290311184182,0.832290311184182,-1.6178401878913409
0.44398459002144386,0.7473751381256482,0.7473751381256482,-1.7759383600857754
0.47907299265190034,0.6549924533571472,0.6549924533571472,-1.9162919706076014
0.5093746637895211,0.5560653126927544,0.5560653126927544,-2.0374986551580845
0.534586839723586,0.4515821618647858,0.4515821618647858,-2.138347358894344
0.5544576092165509,0.34258696031632696,0.34258696031632696,-2.2178304368662034
0.5687884305129631,0.2301687503201753,0.2301687503201753,-2.2751537220518525
0.5774361150990075,0.11545077564594579,0.11545077564594579,-2.30974446039603
0.5803142583916522,-0.0004207415021539318,-0.0004207415021539318,-2.3212570335666087
0.5773941030624548,-0.11628805313993264,-0.11628805313993264,-2.309576412249819
0.5687048263700036,-0.23099345331925786,-0.23099345331925786,-2.2748193054800145
0.5543332486300772,-0.3433908455239278,-0.3433908455239278,-2.2173329945203086
0.5344229657363934,-0.4523571940679699,-0.4523571940679699,-2.1376918629455735
0.5091729143995092,-0.5568037450779719,-0.5568037450779719,-2.0366916575980367
0.47883538443951285,-0.6556869049432885,-0.6556869049432885,-1.9153415377580514
0.443713497992998,-0.7480186675404321,-0.7480186675404321,-1.774853991971992
0.40415818082121474,-0.8328764860464466,-0.8328764860464466,-1.616632723284859
0.3605646559810436,-0.9094124907055421,-0.9094124907055421,-1.4422586239241744
0.31336849489282,-0.976861960448274,-0.976861960448274,-1.25347397957128
0.26304126526137495,-1.034550963717801,-1.034550963717801,-1.0521650610454998
0.21008581933475975,-1.0819030921587487,-1.0819030921587487,-0.840343277339039
0.1550312695787423,-1.1184452198880126,-1.1184452198880126,-0.6201250783149692
0.0984277019683952,-1.1438122308028775,-1.1438122308028775,-0.3937108078735808
0.04084067971973446,-1.1577506666928477,-1.1577506666928477,-0.16336271887893783
-0.017154407621783357,-1.160121259704535,-1.160121259704535,0.06861763048713343
-0.07497809327395757,-1.1509003238561117,-1.1509003238561117,0.2999123730958303
-0.132052623048794,-1.1301799916978137,-1.1301799916978137,0.528210492195176
-0.1878077280717286,-1.098167293753881,-1.098167293753881,0.7512309122869144
-0.24168632271011814,-1.0551820899438469,-1.0551820899438469,0.9667452908404726
-0.29315007077927585,-1.0016538736517155,-1.0016538736517155,1.1726002831171034
-0.34168476441045587,-0.9381174803756684,-0.9381174803756684,1.3667390576418235
-0.3868054618370074,-0.865207743836004,-0.865207743836004,1.5472218473480297
-0.42806133276372726,-0.7836531529356341,-0.7836531529356341,1.712245331054909
-0.46504016290616557,-0.6942685729506023,-0.6942685729506023,1.8601606516246623
-0.4973724726920977,-0.5979471036779722,-0.5979471036779722,1.989489890768391
-0.5247352089725322,-0.4956511558916588,-0.4956511558916588,2.098940835890129
-0.5468549728559656,-0.3884028352671678,-0.3884028352671678,2.1874198914238625
-0.5635107514144921,-0.2772737298557377,-0.2772737298557377,2.2540430056579686
-0.5745361259675161,-0.16337420314790652,-0.16337420314790652,2.2981445038700645
-0.5798209348786697,-0.04784229970649938,-0.04784229970649938,2.319283739514679
-0.5793123742518544,0.06816762577989206,0.06816762577989206,2.317249497007418
-0.5730155255286417,0.18349644240838697,0.18349644240838697,2.2920621021145666
-0.5609933047154695,0.2969918246954072,0.2969918246954072,2.243973218861878
-0.5433658337479493,0.4075197662127218,0.4075197662127218,2.1734633349917973
-0.5203092402733985,0.5139759101856913,0.5139759101856913,2.081236961093594
-0.4920538978437636,0.6152965838423106,0.6152965838423106,1.9682155913750543
-0.45888212410232376,0.7104694262616698,0.7104694262616698,1.835528496409295
-0.4211253599631009,0.7985435035320682,0.7985435035320682,1.6845014398524036
-0.3791608579676429,0.8786388101516384,0.8786388101516384,1.5166434318705715
-0.3334079129079769,0.9499550617367951,0.9499550617367951,1.3336316516319076
-0.2843236723780458,1.0117796911848278,1.0117796911848278,1.1372946895121832
-0.23239856911314782,1.0634949683957668,1.0634949683957668,0.9295942764525913
-0.17815142075586468,1.1045841724157481,1.1045841724157481,0.7126056830234587
-0.12212424600991909,1.1346367543319755,1.1346367543319755,0.48849698403967634
-0.06487684897715676,1.1533524393334391,1.1533524393334391,0.25950739590862704
-0.006981225789080871,1.1605442269510415,1.1605442269510415,0.027924903156323483
0.05098415058006324,1.1561402594997852,1.1561402594997852,-0.20393660232025296
0.10844011021448796,1.1401845400542148,1.1401845400542148,-0.43376044085795185
0.16481257312158096,1.1128364927833678,1.1128364927833678,-0.6592502924863238
0.21953828523979751,1.0743693700382286,1.0743693700382286,-0.8781531409591901
-1.9176620228167902,1.8796394086479773,1.8796394086479773,7.670648091267161
-1.814256369146123,2.253142227324693,2.253142227324693,7.257025476584492
