q1x,q1y,q1z,q2x,q2y,q2z,p1x,p1y,p1z,p2x,p2y,p2z,dq1x_dt,dq1y_dt,dq1z_dt,dq2x_dt,dq2y_dt,dq2z_dt,dp1x_dt,dp1y_dt,dp1z_dt,dp2x_dt,dp2y_dt,dp2z_dt
-0.7071882719169791,0.07516248697346439,0.8120758355807114,-0.5454815904828241,1.8871283308838427,1.849789179768445,-0.4964354083492717,-0.005502988215229099,-0.3982433803664607,0.4964354083492717,0.005502988215229099,0.3982433803664607,-0.4964354083492717,-0.005502988215229099,-0.3982433803664607,0.4964354083492717,0.005502988215229099,0.3982433803664607,0.017603239892631302,0.19724892716072692,0.11296451560017633,-0.017603239892631302,-0.19724892716072692,-0.11296451560017633
-0.7121508656764826,0.07512718198402818,0.8081046982286068,-0.5405189967233206,1.8871636358732788,1.8537603171205495,-0.49625937595034536,-0.0035304989436218295,-0.3971137352104589,0.49625937595034536,0.0035304989436218295,0.3971137352104589,-0.49625937595034536,-0.0035304989436218295,-0.3971137352104589,0.49625937595034536,0.0035304989436218295,0.3971137352104589,0.018555920741833112,0.19590770073626126,0.11305069918399833,-0.018555920741833112,-0.19590770073626126,-0.11305069918399833
-0.7171116038439118,0.07511146776466558,0.8041448659464205,-0.5355582585558913,1.8871793500926415,1.8577201494027356,-0.49607381674292705,-0.0015714219362592168,-0.3959832282186189,0.49607381674292705,0.0015714219362592168,0.3959832282186189,-0.49607381674292705,-0.0015714219362592168,-0.3959832282186189,0.49607381674292705,0.0015714219362592168,0.3959832282186189,0.019494086210664757,0.19456875036721852,0.11312646083463913,-0.019494086210664757,-0.19456875036721852,-0.11312646083463913
-0.72207039260272,0.07511521042033971,0.8001963463103178,-0.5305994697970832,1.8871756074369674,1.8616686690388382,-0.4958788758808204,0.00037426556741296853,-0.3948519636102725,0.4958788758808204,-0.00037426556741296853,0.3948519636102725,-0.4958788758808204,0.00037426556741296853,-0.3948519636102725,0.4958788758808204,-0.00037426556741296853,0.3948519636102725,0.020417841524735032,0.19323227504936188,0.1131919841968051,-0.020417841524735032,-0.19323227504936188,-0.1131919841968051
-0.7270271395773757,0.07513827630351877,0.7962591458726347,-0.5256427228224274,1.8871525415537884,1.8656058694765212,-0.4956746974655731,0.0023065883179065874,-0.3937200437683045,0.4956746974655731,-0.0023065883179065874,0.3937200437683045,-0.4956746974655731,0.0023065883179065874,-0.3937200437683045,0.4956746974655731,-0.0023065883179065874,0.3937200437683045,0.021327294067834363,0.19189846817754702,0.11324745182506726,-0.021327294067834363,-0.19189846817754702,-0.11324745182506726
-0.7319817538226246,0.07518053203351559,0.7923332701801341,-0.5206881085771785,1.8871102858237916,1.8695317451690217,-0.4954614245248947,0.004225572999682058,-0.39258756925005384,0.4954614245248947,-0.004225572999682058,0.39258756925005384,-0.4954614245248947,0.004225572999682058,-0.39258756925005384,0.4954614245248947,-0.004225572999682058,0.39258756925005384,0.022222553262637713,0.19056751761269672,0.11329304512241875,-0.022222553262637713,-0.19056751761269672,-0.11329304512241875
-0.7369341458125473,0.07524184451527367,0.7884187237921458,-0.5157357165872558,1.8870489733420335,1.87344629155701,-0.49523919899226837,0.006131248175809025,-0.39145463879882963,0.49523919899226837,-0.006131248175809025,0.39145463879882963,-0.49523919899226837,0.006131248175809025,-0.39145463879882963,0.49523919899226837,-0.006131248175809025,0.39145463879882963,0.02310373045409498,0.18923960575048712,0.11332894428183142,-0.02310373045409498,-0.18923960575048712,-0.11332894428183142
-0.7418842274294246,0.07532208095760681,0.7845155102985857,-0.5107856349703785,1.8869687368997003,1.8773495050505702,-0.49500816168772743,0.008023644233313896,-0.3903213493560113,0.49500816168772743,-0.008023644233313896,0.3903213493560113,-0.49500816168772743,0.008023644233313896,-0.3903213493560113,0.49500816168772743,-0.008023644233313896,0.3903213493560113,0.023970938795516015,0.18791490959160662,0.11335532823074826,-0.023970938795516015,-0.18791490959160662,-0.11335532823074826
-0.7468319119524224,0.07542110889089912,0.7806236323378486,-0.5058379504473808,1.8868697089664082,1.8812413830113073,-0.4947684522997723,0.009902793329229963,-0.38918779607370385,0.4947684522997723,-0.009902793329229963,0.38918779607370385,-0.4947684522997723,0.009902793329229963,-0.38918779607370385,0.4947684522997723,-0.009902793329229963,0.38918779607370385,0.024824293137354382,0.1865936008134541,0.1133723745784476,-0.024824293137354382,-0.1865936008134541,-0.1133723745784476
-0.7517771140461064,0.07553879618427277,0.7767430916145694,-0.5008927483536968,1.8867520216730345,1.8851219237345864,-0.49452020936839874,0.011768729337364503,-0.3880540723279194,0.49452020936839874,-0.011768729337364503,0.3880540723279194,-0.49452020936839874,0.011768729337364503,-0.3880540723279194,0.49452020936839874,-0.011768729337364503,0.3880540723279194,0.025663909918689883,0.18527584584314993,0.11338025956621585,-0.025663909918689883,-0.18527584584314993,-0.11338025956621585
