round,energy,tree
10,5.279433743798261e-3,"(neg(-0.3057874947834227) (*) sq_lx)"
20,5.1344649761482525e-3,"(0.2987134818178645 (*) sq_lx)"
30,5.1344649761482525e-3,"(0.2987134818178645 (*) sq_lx)"
